,loss,accuracy,updated_mean_io_u,val_loss,val_accuracy,val_updated_mean_io_u,lr
0,0.7512912750244141,0.9086170792579651,0.08620694279670715,0.6195162534713745,0.8470485210418701,0.1630919873714447,0.0010000000474974513
1,0.5790578126907349,0.8727821707725525,0.20930592715740204,0.5423941612243652,0.8446086049079895,0.24270427227020264,0.0010000000474974513
2,0.46168211102485657,0.8617846965789795,0.274172842502594,0.49681082367897034,0.8375555276870728,0.2899954319000244,0.0010000000474974513
3,0.4286767840385437,0.8553830981254578,0.30820003151893616,0.48162099719047546,0.8443260192871094,0.3080446124076843,0.0010000000474974513
4,0.4060220718383789,0.8510711193084717,0.33345285058021545,0.46886080503463745,0.8347777128219604,0.3285585641860962,0.0010000000474974513
5,0.38929852843284607,0.8484293818473816,0.3520159125328064,0.46139028668403625,0.8453404307365417,0.33222419023513794,0.0010000000474974513
6,0.37630388140678406,0.8455797433853149,0.36810359358787537,0.4608146846294403,0.842932939529419,0.34939566254615784,0.0010000000474974513
7,0.3627672493457794,0.8430694937705994,0.38251596689224243,0.44774720072746277,0.8339013457298279,0.3519687056541443,0.0010000000474974513
8,0.35239771008491516,0.8413791060447693,0.39409008622169495,0.45230692625045776,0.8375097513198853,0.3583783209323883,0.0010000000474974513
9,0.3428210914134979,0.8397127985954285,0.40633338689804077,0.44157183170318604,0.8313902020454407,0.3710257112979889,0.0010000000474974513
10,0.33476898074150085,0.8382978439331055,0.41551822423934937,0.44375354051589966,0.8344167470932007,0.36662566661834717,0.0010000000474974513
11,0.3248320519924164,0.8371335864067078,0.42663031816482544,0.45061832666397095,0.8277961611747742,0.3740689158439636,0.0010000000474974513
12,0.3359231650829315,0.8354471325874329,0.43295153975486755,0.444745808839798,0.8386967778205872,0.3702462613582611,0.0010000000474974513
13,0.2877838611602783,0.8328693509101868,0.4698663651943207,0.41881945729255676,0.8182437419891357,0.402249276638031,0.00010000000474974513
14,0.280947208404541,0.8317462205886841,0.48042258620262146,0.4181957244873047,0.820124089717865,0.40395769476890564,0.00010000000474974513
15,0.27714744210243225,0.8312516808509827,0.48381343483924866,0.41781947016716003,0.8217150568962097,0.4065726399421692,0.00010000000474974513
16,0.2750703990459442,0.8310702443122864,0.4874264597892761,0.4166357219219208,0.8147894144058228,0.40804776549339294,0.00010000000474974513
17,0.2727631628513336,0.830973744392395,0.48957329988479614,0.41817739605903625,0.8171604871749878,0.4085848927497864,0.00010000000474974513
18,0.2706231474876404,0.8303011655807495,0.49173077940940857,0.4177248179912567,0.8200509548187256,0.4089730381965637,0.00010000000474974513
19,0.26879948377609253,0.830382764339447,0.49511733651161194,0.4191928505897522,0.8155797123908997,0.410977303981781,0.00010000000474974513
20,0.2655145823955536,0.8296046853065491,0.4997200071811676,0.4173235595226288,0.8180676102638245,0.41232308745384216,1.0000000656873453e-05
21,0.2644190490245819,0.8299070000648499,0.500095009803772,0.4150073528289795,0.8158484697341919,0.4140861928462982,1.0000000656873453e-05
22,0.26355472207069397,0.8300848603248596,0.49995240569114685,0.4159471094608307,0.8152529001235962,0.4142534136772156,1.0000000656873453e-05
23,0.26409879326820374,0.8295612335205078,0.5014416575431824,0.41597723960876465,0.8166825175285339,0.41414889693260193,1.0000000656873453e-05
24,0.26323872804641724,0.8296303749084473,0.5007840991020203,0.4148806631565094,0.8165532946586609,0.41390281915664673,1.0000000656873453e-05
25,0.2632021903991699,0.8295751810073853,0.5015416741371155,0.41588741540908813,0.8163207173347473,0.41452011466026306,1.0000000656873453e-05
26,0.263503760099411,0.8295234441757202,0.5024234056472778,0.41526272892951965,0.8163496255874634,0.4144238531589508,1.0000000656873453e-05
27,0.26300540566444397,0.8295120000839233,0.5028899908065796,0.41649362444877625,0.8164320588111877,0.4146152436733246,1.0000000656873453e-05
28,0.2621119022369385,0.8298472762107849,0.5036016702651978,0.41532227396965027,0.816820502281189,0.414926141500473,1.0000001111620804e-06
29,0.262114942073822,0.829224705696106,0.5038286447525024,0.4159785509109497,0.8165299296379089,0.4140477180480957,1.0000001111620804e-06
30,0.2615965008735657,0.8297197222709656,0.5041742324829102,0.4149976074695587,0.8157440423965454,0.41491204500198364,1.0000001111620804e-06
31,0.26104801893234253,0.8300308585166931,0.5048072934150696,0.4150690734386444,0.8158391118049622,0.4149450659751892,1.000000082740371e-07
32,0.26138797402381897,0.8296319246292114,0.5048018097877502,0.41540980339050293,0.8158817887306213,0.4147201180458069,1.000000082740371e-07
33,0.2618451714515686,0.8292881846427917,0.5039150714874268,0.41581854224205017,0.8158380389213562,0.414585679769516,1.000000082740371e-07
34,0.2624916732311249,0.8295434713363647,0.503079891204834,0.41610175371170044,0.8148601055145264,0.41464442014694214,1.000000082740371e-08
